date;layers;eggs_produced;feed_used;feed_price;feed_cost;eggs_sold;price_per_egg;revenue;notes
01 03 2026;1000;880;150.0;35.0;5250.0;654;4.0;2616.0;Good production
02 03 2026;1000;902;150.0;35.0;5250.0;900;4.0;3600.0;
03 03 2026;1000;950;150.0;35.0;5250.0;880;4.0;3520.0;Excellent egg quality
04 03 2026;1000;964;150.0;35.0;5250.0;630;4.0;2520.0;No issues
05 03 2026;1000;960;150.0;35.0;5250.0;940;4.0;3760.0;No issues
07 03 2026;1000;980;150.0;35.0;5250.0;900;4.0;3600.0;Vaccination administered
08 03 2026;1000;988;150.0;35.0;5250.0;955;4.0;3820.0;Normal day
11 03 2026;1000;997;150.0;35.0;5250.0;950;4.0;3800.0;hea
12 03 2026;1000;996;150.0;35.0;5250.0;559;4.0;2236.0;Normal feeding
13 03 2026;1000;998;150.0;35.0;5250.0;699;4.0;2796.0;No issues
14 03 2026;1000;990;150.0;35.0;5250.0;790;4.0;3160.0;One sick hen
15 03 2026;1000;990;150.0;35.0;5250.0;820;4.0;3280.0;Flock inspected
16 03 2026;992;981;150.0;35.0;5250.0;500;4.0;2000.0;Curling
17 03 2026;992;988;150.0;35.0;5250.0;690;4.0;2760.0;New feed batch
18 03 2026;992;984;150.0;35.0;5250.0;920;4.0;3680.0;Normal feeding
18 03 2026;990;980;150.0;35.0;5250.0;760;4.0;3040.0;Healthy flock
21 03 2026;990;930;150.0;35.0;5250.0;400;4.0;1600.0;Cold morning
22 03 2026;934;900;150.0;35.0;5250.0;700;4.0;2800.0;Changed feed brand
24 03 2026;934;903;150.0;35.0;5250.0;700;4.0;2800.0;Cold morning
25 03 2026;900;880;150.0;35.0;5250.0;800;4.0;3200.0;Flocks inspected
27 03 2026;900;882;150.0;35.0;5250.0;670;4.0;2680.0;Vaccination completed
28 03 2026;900;850;150.0;35.0;5250.0;800;4.0;3200.0;Heavy rain
30 03 2026;895;860;130.0;35.0;4550.0;730;4.0;2920.0;Cold morning
31 03 2026;895;851;130.0;35.0;4550.0;530;4.0;2120.0;Strong winds
01 04 2026;895;870;130.0;35.0;4550.0;500;4.0;2000.0;Sick hen
02 04 2026;895;860;130.0;35.0;4550.0;490;4.0;1960.0;Routine operation
03 04 2026;891;872;130.0;35.0;4550.0;820;4.0;3280.0;
04 04 2026;891;860;130.0;35.0;4550.0;611;4.0;2444.0;Cleaned poultry house
05 04 2026;891;700;130.0;35.0;4550.0;480;4.0;1920.0;Sick hen
07 04 2026;891;750;130.0;35.0;4550.0;680;4.0;2720.0;Hot weather
08 04 2026;885;880;130.0;35.0;4550.0;300;4.0;1200.0;Normal day
11 04 2026;885;871;130.0;35.0;4550.0;811;4.0;3244.0;
14 04 2026;870;610;130.0;35.0;4550.0;546;4.0;2184.0;Cold morning
16 04 2026;870;740;130.0;35.0;4550.0;320;4.0;1280.0;
17 04 2026;870;759;130.0;35.0;4550.0;528;4.0;2112.0;
